,median_age,Code
0,39.8,AL
1,35.6,AK
2,38.6,AZ
3,38.5,AR
4,37.6,CA
5,37.6,CO
6,41.1,CT
7,41.6,DE
8,34.8,DC
9,42.8,FL
10,37.5,GA
11,40.2,HI
12,37.3,ID
13,39.0,IL
14,38.2,IN
15,38.5,IA
16,37.3,KS
17,39.1,KY
18,38.0,LA
19,44.7,ME
20,39.3,MD
21,39.9,MA
22,40.2,MI
23,38.8,MN
24,38.6,MS
25,39.2,MO
26,40.1,MT
27,37.2,NE
28,38.7,NV
29,43.1,NH
30,40.3,NJ
31,39.1,NM
32,39.8,NY
33,39.4,NC
34,35.8,ND
35,39.6,OH
36,37.2,OK
37,40.1,OR
38,40.9,PA
39,40.6,RI
40,40.2,SC
41,37.6,SD
42,39.2,TN
43,35.5,TX
44,31.8,UT
45,42.9,VT
46,38.8,VA
47,38.2,WA
48,42.8,WV
49,40.1,WI
50,39.0,WY
